Experimento,Tamano_n,Prom_Clasico,Std_Clasico,Prom_Strassen,Std_Strassen,Prom_Hib(n0=16),Prom_Hib(n0=32),Prom_Hib(n0=64)
Exp1_Enteros,16,0.000014,0.000046,0.000332,0.000304,,,
Exp1_Enteros,32,0.000049,0.000011,0.001592,0.000153,,,
Exp1_Enteros,64,0.000404,0.000040,0.010743,0.000730,,,
Exp1_Enteros,128,0.003583,0.000453,0.079058,0.003873,,,
Exp1_Enteros,256,0.034073,0.005896,0.643209,0.092243,,,
Exp1_Enteros,512,0.414747,0.052408,6.529507,0.530153,,,
Exp2_Reales_0a1,16,0.000010,0.000006,0.000385,0.000100,,,
Exp2_Reales_0a1,32,0.000089,0.000035,0.002856,0.000760,,,
Exp2_Reales_0a1,64,0.000706,0.000304,0.019226,0.003077,,,
Exp2_Reales_0a1,128,0.005664,0.001400,0.129272,0.010730,,,
Exp2_Reales_0a1,256,0.048854,0.007106,0.905526,0.031502,,,
Exp2_Reales_0a1,512,0.415895,0.030617,6.543243,0.371200,,,
Exp3_Estructuradas,16,0.000011,0.000003,0.000448,0.000161,,,
Exp3_Estructuradas,32,0.000085,0.000034,0.002827,0.000680,,,
Exp3_Estructuradas,64,0.000694,0.000290,0.019233,0.002044,,,
Exp3_Estructuradas,128,0.006003,0.001239,0.140292,0.007658,,,
Exp3_Estructuradas,256,0.042757,0.010839,0.834165,0.216038,,,
Exp3_Estructuradas,512,0.270401,0.023454,4.123176,0.307023,,,
Exp4_Reales2Dec,16,0.000005,0.000001,0.000252,0.000115,,,
Exp4_Reales2Dec,32,0.000049,0.000007,0.001544,0.000239,,,
Exp4_Reales2Dec,64,0.000420,0.000094,0.010764,0.000665,,,
Exp4_Reales2Dec,128,0.003587,0.000473,0.078624,0.005225,,,
Exp4_Reales2Dec,256,0.029215,0.000907,0.545849,0.020186,,,
Exp4_Reales2Dec,512,0.256109,0.017516,3.915613,0.248416,,,
Exp5_LongLong,16,0.000010,0.000029,0.000795,0.002682,0.000025,0.000009,0.000014
Exp5_LongLong,32,0.000046,0.000010,0.001755,0.000744,0.000099,0.000051,0.000047
Exp5_LongLong,64,0.000398,0.000028,0.013276,0.002340,0.000459,0.000397,0.000441
Exp5_LongLong,128,0.004199,0.001068,0.091337,0.005648,0.003621,0.003353,0.003766
Exp5_LongLong,256,0.033200,0.002812,0.644045,0.022398,0.031261,0.026598,0.027348
Exp5_LongLong,512,0.253370,0.013436,3.922716,0.166575,0.218307,0.173510,0.182150
