Experimento,Tamano_n,Prom_Clasico,Std_Clasico,Prom_Strassen,Std_Strassen,Prom_Hibrido(n0=16),Prom_Hibrido(n0=32),Prom_Hibrido(n0=64),Std_Hibrido(n0=16),Std_Hibrido(n0=32),Std_Hibrido(n0=64)
Exp1_EnterosAleatorios,16,0.000275,0.000021,0.005787,0.000523,,,,,,
Exp1_EnterosAleatorios,32,0.002067,0.000203,0.041531,0.001201,,,,,,
Exp1_EnterosAleatorios,64,0.016582,0.001787,0.310486,0.014463,,,,,,
Exp1_EnterosAleatorios,128,0.184268,0.046209,3.080960,0.633784,,,,,,
Exp1_EnterosAleatorios,256,1.448335,0.401262,20.622979,4.944854,,,,,,
Exp1_EnterosAleatorios,512,12.230822,2.745963,145.038004,27.435759,,,,,,
Exp2_Reales_0a1,16,0.000491,0.000149,0.009742,0.000877,,,,,,
Exp2_Reales_0a1,32,0.003368,0.000621,0.070043,0.003498,,,,,,
Exp2_Reales_0a1,64,0.027814,0.002727,0.499162,0.015915,,,,,,
Exp2_Reales_0a1,128,0.231197,0.009511,3.581028,0.107484,,,,,,
Exp2_Reales_0a1,256,2.097204,0.089775,25.236017,0.595009,,,,,,
Exp2_Reales_0a1,512,14.104696,1.023182,135.813143,8.151419,,,,,,
Exp3_Estructuradas,16,0.000355,0.000076,0.007523,0.001585,,,,,,
Exp3_Estructuradas,32,0.003407,0.001341,0.057072,0.006660,,,,,,
Exp3_Estructuradas,64,0.025002,0.003576,0.412328,0.025165,,,,,,
Exp3_Estructuradas,128,0.190199,0.015030,2.766951,0.136824,,,,,,
Exp3_Estructuradas,256,1.534353,0.074560,19.108083,0.741854,,,,,,
Exp3_Estructuradas,512,16.607652,1.453273,145.547473,14.180829,,,,,,
Exp4_Reales2Decimales,16,0.000349,0.000128,0.008138,0.001383,,,,,,
Exp4_Reales2Decimales,32,0.002765,0.000725,0.054966,0.004294,,,,,,
Exp4_Reales2Decimales,64,0.022110,0.002863,0.401223,0.023631,,,,,,
Exp4_Reales2Decimales,128,0.200705,0.012969,3.132599,0.138980,,,,,,
Exp4_Reales2Decimales,256,1.897139,0.107701,23.239160,0.688179,,,,,,
Exp4_Reales2Decimales,512,19.515897,8.674609,202.855206,104.648404,,,,,,
Exp5_LongLong,16,0.000447,0.000133,0.008303,0.002389,0.000495,0.000551,0.000455,0.000209,0.000575,0.000128
Exp5_LongLong,32,0.003787,0.000904,0.058049,0.004518,0.003924,0.003914,0.004069,0.000911,0.001068,0.001230
Exp5_LongLong,64,0.030081,0.003802,0.411061,0.018989,0.030315,0.029175,0.030707,0.003436,0.003549,0.003059
Exp5_LongLong,128,0.262039,0.018744,2.981560,0.132849,0.232468,0.223200,0.232908,0.014585,0.017123,0.018074
Exp5_LongLong,256,2.579862,1.149565,24.746181,12.364820,2.172636,1.963580,2.146730,1.251627,1.101533,1.243322
Exp5_LongLong,512,43.666956,22.704469,2048.965025,9699.183666,26.928001,24.875900,26.995738,15.500121,13.756169,15.066307
